Precinct	total_votes	votes|Ricardo Munoz	votes|Neftalie Gonzalez	votes|Raul Montes, Jr.	votes|Robert Martinez
22001	148	97	13	15	23
22002	263	120	15	34	94
22003	253	132	52	60	9
22004	169	99	37	21	12
22005	217	92	12	74	39
22006	241	109	19	105	8
22007	141	93	31	15	2
22008	265	150	18	13	84
22009	175	123	25	17	10
22010	288	159	42	71	16
22011	174	120	15	22	17
22012	219	122	19	25	53
22013	205	110	38	46	11
22014	169	117	24	10	18
22015	156	100	36	10	10
22016	179	86	24	41	28
22017	202	112	23	57	10
22018	167	102	38	9	18
22019	85	61	7	9	8
22020	184	94	17	58	15
22021	262	167	27	55	13
22022	155	92	30	9	24
22023	296	196	17	32	51
22024	254	161	38	46	9
22025	212	114	52	33	13
