Precinct	total_votes	votes|Marvin Mcneil	votes|Howard B. Brookins, Jr.
21001	325	136	189
21002	200	121	79
21003	303	151	152
21004	280	159	121
21005	333	165	168
21006	252	151	101
21007	318	145	173
21008	264	122	142
21009	330	157	173
21010	278	149	129
21011	286	190	96
21012	262	134	128
21013	246	93	153
21014	347	148	199
21015	256	103	153
21016	263	139	124
21017	246	147	99
21018	321	146	175
21019	297	108	189
21020	274	135	139
21021	232	114	118
21022	279	139	140
21023	261	141	120
21024	286	105	181
21025	278	107	171
21026	250	117	133
21027	291	168	123
21028	324	158	166
21029	283	125	158
21030	188	83	105
21031	218	106	112
21032	266	116	150
21033	286	112	174
21034	268	164	104
21035	304	201	103
21036	280	139	141
21037	239	120	119
21038	240	111	129
21039	207	130	77
21040	241	112	129
21041	307	132	175
21042	310	150	160
21043	284	157	127
21044	295	163	132
21045	281	140	141
21046	322	160	162
21047	241	114	127
21048	257	112	145
21049	327	149	178
21050	238	120	118
21051	321	169	152
21052	296	122	174
21053	226	97	129
21054	228	109	119
