Precinct	total_votes	votes|Michael J. Madigan
13001	265	265
13002	258	258
13003	268	268
13004	328	328
13005	416	416
13006	281	281
13007	299	299
13008	248	248
13009	355	355
13010	242	242
13011	322	322
13012	308	308
13013	346	346
13014	338	338
13015	539	539
13016	266	266
13017	304	304
13018	252	252
13019	431	431
13020	202	202
13021	319	319
13022	329	329
13023	302	302
13024	326	326
13025	355	355
13026	335	335
13027	308	308
13028	281	281
13029	304	304
13030	292	292
13031	327	327
13032	250	250
13033	264	264
13034	424	424
13035	332	332
13036	235	235
13037	389	389
13038	270	270
13039	371	371
13040	282	282
13041	420	420
13042	272	272
13043	339	339
13044	403	403
13045	370	370
13046	452	452
13047	421	421
13048	276	276
14003	442	442
14006	39	39
14010	2	2
14011	247	247
14015	459	459
14018	98	98
14022	310	310
14023	76	76
18015	406	406
18043	242	242
18046	236	236
23001	194	194
23002	276	276
23004	358	358
23005	386	386
23006	279	279
23007	358	358
23008	398	398
23009	329	329
23010	433	433
23011	437	437
23013	325	325
23014	32	32
23015	329	329
23017	90	90
23018	270	270
23020	242	242
23022	245	245
23023	275	275
23024	120	120
23025	64	64
23026	196	196
23028	308	308
23029	266	266
23030	425	425
23032	379	379
23033	400	400
23034	364	364
23035	220	220
23038	262	262
23039	373	373
Stickney 3	623	623
Stickney 20	386	386
