Precinct	total_votes	votes|Joseph Berrios
31001	146	146
31002	153	153
31003	165	165
31004	219	219
31005	185	185
31006	150	150
31007	245	245
31008	122	122
31009	195	195
31010	155	155
31011	133	133
31012	144	144
31013	185	185
31014	149	149
31015	126	126
31016	194	194
31017	143	143
31018	143	143
31019	147	147
31020	148	148
31021	176	176
31022	153	153
31023	138	138
31024	193	193
31025	151	151
31026	181	181
31027	157	157
31028	163	163
31029	188	188
31030	135	135
31031	158	158
31032	146	146
31033	145	145
31034	130	130
31035	172	172
31036	177	177
31037	157	157
31038	184	184
31039	178	178
31040	164	164
31041	177	177
