Precinct	votes|Danny K. Davis	votes|Anthony V. Clark	pct|Danny K. Davis	pct|Anthony V. Clark
Berwyn Ward 6 Precinct 2	91	54	62.76	37.24
Berwyn Ward 6 Precinct 3	54	18	75	25
Berwyn Ward 6 Precinct 4	34	12	73.91	26.09
Berwyn Ward 7 Precinct 1	108	46	70.13	29.87
Berwyn Ward 7 Precinct 2	135	52	72.19	27.81
Berwyn Ward 7 Precinct 3	128	80	61.54	38.46
Berwyn Ward 7 Precinct 4	134	81	62.33	37.67
Berwyn Ward 8 Precinct 1	170	106	61.59	38.41
Berwyn Ward 8 Precinct 2	1	0	100	0
Oak Park 1	133	186	41.69	58.31
Oak Park 2	218	289	43	57
Oak Park 3	250	328	43.25	56.75
Oak Park 4	194	246	44.09	55.91
Oak Park 5	234	281	45.44	54.56
Oak Park 6	254	188	57.47	42.53
Oak Park 7	127	202	38.6	61.4
Oak Park 8	155	307	33.55	66.45
Oak Park 9	116	149	43.77	56.23
Oak Park 10	163	285	36.38	63.62
Oak Park 11	183	186	49.59	50.41
Oak Park 12	79	120	39.7	60.3
Oak Park 13	180	217	45.34	54.66
Oak Park 14	221	253	46.62	53.38
Oak Park 15	282	257	52.32	47.68
Oak Park 16	291	339	46.19	53.81
Oak Park 17	249	373	40.03	59.97
Oak Park 18	147	202	42.12	57.88
Oak Park 19	224	187	54.5	45.5
Oak Park 20	284	226	55.69	44.31
Oak Park 21	145	114	55.98	44.02
Oak Park 22	132	116	53.23	46.77
Oak Park 23	185	199	48.18	51.82
Oak Park 24	129	183	41.35	58.65
Oak Park 25	156	243	39.1	60.9
Oak Park 26	141	275	33.89	66.11
Oak Park 27	75	57	56.82	43.18
Oak Park 28	227	223	50.44	49.56
Oak Park 29	185	247	42.82	57.18
Oak Park 30	270	234	53.57	46.43
Oak Park 31	304	373	44.9	55.1
Oak Park 32	140	152	47.95	52.05
Oak Park 33	176	201	46.68	53.32
Oak Park 34	145	186	43.81	56.19
Oak Park 35	221	261	45.85	54.15
Oak Park 36	238	286	45.42	54.58
Oak Park 37	135	109	55.33	44.67
Proviso 1	160	33	82.9	17.1
Proviso 2	134	42	76.14	23.86
Proviso 3	92	23	80	20
Proviso 4	220	31	87.65	12.35
Proviso 5	229	29	88.76	11.24
Proviso 8	121	40	75.16	24.84
Proviso 9	204	37	84.65	15.35
Proviso 17	131	22	85.62	14.38
Proviso 18	269	43	86.22	13.78
Proviso 19	201	26	88.55	11.45
Proviso 20	211	18	92.14	7.86
Proviso 21	105	82	56.15	43.85
Proviso 22	207	20	91.19	8.81
Proviso 30	187	32	85.39	14.61
Proviso 31	121	24	83.45	16.55
Proviso 33	267	43	86.13	13.87
Proviso 34	397	72	84.65	15.35
Proviso 36	216	56	79.41	20.59
Proviso 37	148	29	83.62	16.38
Proviso 38	201	45	81.71	18.29
Proviso 39	196	48	80.33	19.67
Proviso 40	229	39	85.45	14.55
Proviso 41	178	27	86.83	13.17
Proviso 42	174	23	88.32	11.68
Proviso 43	170	23	88.08	11.92
Proviso 44	169	17	90.86	9.14
Proviso 45	204	32	86.44	13.56
Proviso 47	127	26	83.01	16.99
Proviso 48	241	33	87.96	12.04
Proviso 49	127	23	84.67	15.33
Proviso 50	236	92	71.95	28.05
Proviso 51	146	81	64.32	35.68
Proviso 52	141	17	89.24	10.76
Proviso 53	185	39	82.59	17.41
Proviso 56	199	37	84.32	15.68
Proviso 58	129	20	86.58	13.42
Proviso 59	114	61	65.14	34.86
Proviso 60	123	20	86.01	13.99
Proviso 61	173	114	60.28	39.72
Proviso 62	246	115	68.14	31.86
Proviso 63	5	4	55.56	44.44
Proviso 64	237	41	85.25	14.75
Proviso 65	140	65	68.29	31.71
Proviso 66	194	139	58.26	41.74
Proviso 67	219	176	55.44	44.56
Proviso 68	87	74	54.04	45.96
Proviso 69	183	26	87.56	12.44
Proviso 71	98	22	81.67	18.33
Proviso 72	146	117	55.51	44.49
Proviso 73	134	108	55.37	44.63
Proviso 74	165	120	57.89	42.11
Proviso 76	158	128	55.24	44.76
Proviso 79	211	30	87.55	12.45
Proviso 81	137	37	78.74	21.26
Proviso 82	327	40	89.1	10.9
Proviso 83	285	30	90.48	9.52
Proviso 85	63	37	63	37
Proviso 86	243	30	89.01	10.99
Proviso 91	167	31	84.34	15.66
Proviso 92	163	89	64.68	35.32
Proviso 94	185	39	82.59	17.41
Proviso 99	206	37	84.77	15.23
Proviso 101	94	67	58.39	41.61
Proviso 102	105	45	70	30
River Forest 2	117	110	51.54	48.46
River Forest 3	157	124	55.87	44.13
River Forest 4	147	174	45.79	54.21
River Forest 5	119	108	52.42	47.58
River Forest 6	101	108	48.33	51.67
River Forest 7	166	152	52.2	47.8
River Forest 8	187	222	45.72	54.28
Riverside 13	10	10	50	50
