Precinct	total_votes	votes|Jesus ''Chuy'' Garcia
01001	200	200
01002	152	152
01007	131	131
01009	182	182
01013	89	89
01015	143	143
01016	209	209
01017	186	186
01018	223	223
01019	234	234
01020	160	160
01022	139	139
01023	301	301
01024	179	179
01025	175	175
01026	140	140
01027	189	189
01029	208	208
01030	226	226
01031	201	201
01034	182	182
01038	150	150
01041	136	136
01042	62	62
01043	116	116
01044	184	184
11003	167	167
11037	1	1
11038	96	96
12002	159	159
12003	50	50
12005	117	117
12006	174	174
12007	159	159
12008	193	193
12010	165	165
12011	169	169
12012	168	168
12013	193	193
12014	164	164
12015	68	68
12016	137	137
12017	171	171
12018	107	107
12019	0	0
12020	193	193
12021	168	168
12022	146	146
14002	224	224
14003	148	148
14005	206	206
14006	82	82
14010	110	110
14011	81	81
14013	155	155
14014	185	185
14015	187	187
14016	124	124
14017	141	141
14019	176	176
14020	109	109
14025	113	113
14027	166	166
14028	114	114
14030	105	105
14031	101	101
15001	2	2
15004	168	168
15005	102	102
15006	152	152
15008	93	93
15009	204	204
15010	200	200
15011	164	164
15012	179	179
15015	42	42
16001	92	92
22003	237	237
22004	151	151
22005	153	153
22006	164	164
22007	127	127
22009	132	132
22010	218	218
22011	180	180
22013	165	165
22014	69	69
22015	116	116
22016	121	121
22017	196	196
22018	140	140
22019	29	29
22020	162	162
22022	135	135
22024	191	191
22025	176	176
23009	79	79
23013	132	132
23015	32	32
23024	135	135
23026	14	14
23034	73	73
23039	148	148
24016	130	130
25001	185	185
25002	217	217
25005	216	216
25007	214	214
25008	229	229
25009	192	192
25011	235	235
25012	198	198
25013	228	228
25014	14	14
25015	180	180
25017	251	251
25019	238	238
25022	192	192
25023	269	269
25024	226	226
25026	188	188
25027	18	18
25028	239	239
25030	201	201
25032	166	166
26001	81	81
26002	151	151
26005	146	146
26006	118	118
26007	151	151
26008	67	67
26009	141	141
26010	36	36
26011	141	141
26012	153	153
26013	73	73
26014	121	121
26015	75	75
26016	70	70
26018	93	93
26020	132	132
26022	59	59
26023	96	96
26024	141	141
26025	132	132
26026	86	86
26027	122	122
26029	88	88
26030	119	119
26031	72	72
26033	6	6
26034	197	197
26035	138	138
26036	36	36
26037	152	152
26038	64	64
26039	71	71
26040	94	94
26041	147	147
26042	113	113
26043	74	74
26044	90	90
26045	42	42
26047	82	82
26048	129	129
26049	65	65
28019	1	1
29001	8	8
29009	210	210
29023	143	143
29030	238	238
29038	136	136
29039	71	71
29043	81	81
30001	166	166
30002	110	110
30003	133	133
30004	120	120
30005	97	97
30006	112	112
30007	135	135
30008	203	203
30009	93	93
30010	120	120
30011	112	112
30012	96	96
30013	115	115
30014	83	83
30015	39	39
30016	46	46
30017	82	82
30018	163	163
30019	127	127
30020	147	147
30022	199	199
30023	141	141
30024	201	201
30025	228	228
30026	82	82
30027	86	86
30028	183	183
30029	81	81
30030	44	44
30031	88	88
30032	124	124
31001	84	84
31002	89	89
31003	78	78
31004	164	164
31005	132	132
31006	79	79
31007	191	191
31008	82	82
31009	103	103
31010	78	78
31011	67	67
31012	81	81
31013	122	122
31014	93	93
31015	98	98
31016	169	169
31017	85	85
31018	96	96
31019	77	77
31020	86	86
31021	99	99
31022	86	86
31023	88	88
31024	125	125
31025	87	87
31026	117	117
31027	95	95
31028	72	72
31029	113	113
31030	76	76
31031	86	86
31032	69	69
31033	71	71
31034	93	93
31035	85	85
31036	113	113
31037	92	92
31038	79	79
31039	123	123
31040	107	107
31041	93	93
32001	1	1
32003	261	261
32011	260	260
32012	174	174
32014	231	231
32016	5	5
32017	226	226
32020	256	256
32022	310	310
32026	249	249
32028	234	234
32043	208	208
33001	231	231
33003	276	276
33004	260	260
33006	197	197
33007	94	94
33008	121	121
33009	256	256
33010	184	184
33011	232	232
33012	194	194
33013	197	197
33014	92	92
33015	250	250
33016	288	288
33017	230	230
33019	96	96
33020	243	243
33021	257	257
33022	207	207
33023	232	232
33025	248	248
33026	170	170
33027	216	216
33028	206	206
35001	187	187
35002	251	251
35003	182	182
35004	175	175
35005	170	170
35006	173	173
35007	200	200
35008	208	208
35009	154	154
35010	286	286
35011	188	188
35012	132	132
35013	120	120
35014	134	134
35015	221	221
35016	109	109
35017	194	194
35018	135	135
35019	81	81
35020	155	155
35021	169	169
35022	217	217
35023	183	183
35024	156	156
35025	207	207
35026	155	155
35027	164	164
35028	164	164
35029	118	118
35030	150	150
35031	197	197
36001	135	135
36002	109	109
36003	126	126
36004	95	95
36006	103	103
36008	105	105
36009	118	118
36010	146	146
36011	82	82
36012	69	69
36013	82	82
36016	34	34
36019	166	166
36020	64	64
36021	25	25
36022	95	95
36023	89	89
36024	23	23
36025	113	113
36027	120	120
36029	59	59
37026	7	7
38001	130	130
38035	85	85
38041	186	186
39006	1	1
39012	59	59
39025	1	1
39028	130	130
39031	158	158
45001	147	147
45002	182	182
45008	149	149
45009	169	169
45010	164	164
