Precinct	total_votes	votes|Mattie Hunter
02027	27	27
02029	45	45
02032	131	131
02036	139	139
02038	90	90
02039	101	101
02040	179	179
02041	101	101
02042	101	101
02043	171	171
02045	189	189
03001	288	288
03002	302	302
03003	187	187
03005	122	122
03006	220	220
03007	192	192
03008	163	163
03009	216	216
03010	110	110
03011	113	113
03012	109	109
03013	268	268
03014	189	189
03015	199	199
03016	183	183
03017	227	227
03018	261	261
03020	213	213
03021	141	141
03022	224	224
03023	161	161
03024	181	181
03025	305	305
03026	294	294
03027	103	103
03028	157	157
03029	202	202
03031	105	105
03032	223	223
03033	206	206
03034	259	259
03035	78	78
03036	116	116
03037	177	177
03038	245	245
03039	271	271
03040	243	243
03041	203	203
04002	253	253
04006	233	233
04011	71	71
04013	168	168
04014	246	246
04016	266	266
04017	269	269
04020	217	217
04021	216	216
04025	232	232
04036	136	136
04037	314	314
04038	98	98
05002	131	131
05012	125	125
05013	4	4
05030	76	76
06007	2	2
06015	46	46
06018	14	14
06028	39	39
07001	2	2
07003	2	2
08001	132	132
08002	47	47
08009	154	154
08013	196	196
08016	48	48
08020	217	217
08021	214	214
08026	66	66
08028	198	198
08043	10	10
08054	86	86
08055	158	158
11012	220	220
11013	207	207
11021	255	255
11024	246	246
11028	73	73
11029	222	222
11031	180	180
11032	86	86
11034	64	64
11035	43	43
15001	132	132
15002	90	90
15003	80	80
15005	40	40
15007	31	31
15013	31	31
15014	15	15
15017	109	109
15018	74	74
15020	91	91
15021	102	102
15022	12	12
15023	114	114
15024	84	84
16002	82	82
16003	94	94
16004	95	95
16005	79	79
16006	40	40
16008	76	76
16009	130	130
16010	102	102
16012	86	86
16014	92	92
16015	133	133
16017	35	35
16018	108	108
16019	91	91
16020	97	97
16021	90	90
16022	94	94
16025	136	136
16026	116	116
16027	104	104
16028	115	115
16030	17	17
16031	131	131
16033	18	18
16034	90	90
16036	91	91
17001	0	0
17006	124	124
17008	79	79
17016	12	12
17017	6	6
17025	99	99
18050	45	45
20001	166	166
20002	54	54
20003	135	135
20004	60	60
20006	63	63
20007	135	135
20008	105	105
20010	114	114
20011	194	194
20012	94	94
20013	158	158
20014	79	79
20015	98	98
20017	77	77
20018	104	104
20019	113	113
20020	90	90
20021	91	91
20023	144	144
20025	104	104
20027	79	79
20029	198	198
20030	74	74
20031	161	161
20032	109	109
20033	127	127
20035	56	56
20036	48	48
20037	44	44
20038	53	53
20039	18	18
25014	0	0
25021	272	272
25027	47	47
27038	94	94
42005	125	125
42009	168	168
42010	182	182
42012	62	62
42014	134	134
42015	123	123
42017	201	201
42018	111	111
42019	147	147
42020	118	118
42021	92	92
42022	60	60
42023	144	144
42025	136	136
42027	142	142
42032	104	104
42033	171	171
42036	139	139
42037	95	95
42038	134	134
42039	144	144
42040	49	49
42041	109	109
42042	229	229
